seed,turbine,pattern,severity,imputer,masked_fraction,rmse,roc_auc,detection_rate,healthy_day_false_alarm_rate
0,7,random,0.3,linear,0.3,2.098099575098984,0.9835814265077976,1.0,0.6126373626373627
0,7,random,0.3,median,0.3,9.308627555213485,0.8398481158552032,1.0,0.9807692307692307
0,7,block,0.1,ffill,0.10075,7.316884276965961,0.961232088230786,1.0,0.2554945054945055
0,7,block,0.1,linear,0.10075,4.810916171218277,0.9722944831925896,1.0,0.2554945054945055
0,7,block,0.1,median,0.10075,9.26246666763456,0.9338645234723624,1.0,0.25274725274725274
0,7,block,0.3,ffill,0.3005833333333333,6.539805108276195,0.9117715859811796,1.0,0.5494505494505495
0,7,block,0.3,linear,0.3005833333333333,5.545204921744161,0.9199064939090131,1.0,0.532967032967033
0,7,block,0.3,median,0.3005833333333333,9.193487366745961,0.8478198083048327,1.0,0.5796703296703297
0,7,dropout,0.1,ffill,0.12,10.653991521208338,0.9164212504519486,1.0,0.20054945054945056
0,7,dropout,0.1,linear,0.12,9.608751511656159,0.9174593912548357,1.0,0.1978021978021978
0,7,dropout,0.1,median,0.12,11.366606725235814,0.9105826544077723,1.0,0.1978021978021978
0,7,dropout,0.3,ffill,0.30641666666666667,10.352814487191925,0.7168958065143195,1.0,0.49175824175824173
0,7,dropout,0.3,linear,0.30641666666666667,8.054131890138628,0.7725586098875598,1.0,0.49175824175824173
0,7,dropout,0.3,median,0.30641666666666667,7.69119571451283,0.8123218536940973,1.0,0.4945054945054945
